Project name,Country,Partners,Project type,Announcement,Operation,Project Status,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
ENI Venice bio-refinery Porto Marghera,Italy,Eni,Capture,2020,2027,Planned,0.2,0.2,Other fuel transformation,Dedicated storage,Ravenna CCS,Europe & Central Asia
Enid fertiliser (OK),United States,"Koch Nitrogen Company, Daylight Petroleum",Full chain,1982,1982,Operational,0.68,0.68,Chemicals,EOR,,North America
EnLink midstream network (LA),United States,EnLink Midstream,Transport,2022,2025,Planned,2,2,Transport,Dedicated storage,Enlink midstream network (LA),North America
Enquest CCS Project ,United Kingdom,Enquest CCS Ltd,Storage,2023,,Planned,10,10,Storage,Dedicated storage,,Europe & Central Asia
Equinor Mongstad refinery,Norway,"Equinor, Aker Solutions",Capture,2024,,Planned,,,Other fuel transformation,Dedicated storage,,Europe & Central Asia
Equinor Smeaheia storage phase 1 (start up phase),Norway,Equinor,T&S,2022,2028,Planned,5,5,T&S,Dedicated storage,Wilhelmshaven/Smeahia,Europe & Central Asia
Equinor Smeaheia storage phase 2,Norway,Equinor,T&S,2022,2035,Planned,24,24,T&S,Dedicated storage,Wilhelmshaven/Smeahia,Europe & Central Asia
Eramet Sauda,Norway,Eramet Norway,Capture,2023,2030,Planned,0.26,0.26,Iron and steel,Dedicated storage,,Europe & Central Asia
Ervia Cork CCS -  Aghada CCGT,Ireland,"Aghata, Ervia Cork",Capture,2018,2028,Planned,,,Power and heat,Unknown/unspecified,Ervia Cork CCS,Europe & Central Asia
Ervia Cork CCS - Irving refinery,Ireland,"Irving Oil, Ervia Cork",Capture,2018,2028,Planned,2.5,2.5,Other fuel transformation,Unknown/unspecified,Ervia Cork CCS,Europe & Central Asia
Ervia Cork CCS - Whitegate CCGT,Ireland,"Whitegate, Ervia Cork",Capture,2018,2028,Planned,,,Power and heat,Unknown/unspecified,Ervia Cork CCS,Europe & Central Asia
EU2NSEA,Norway,Equinor and partners (incl. Heidelberg Materials),Transport,2022,2029,Planned,20,20,Transport,Dedicated storage,EU2NSEA,Europe & Central Asia
Everest,Germany,"Lhoist, Air Liquide",Capture,2023,2029,Planned,1,1,Cement,Dedicated storage,,Europe & Central Asia
Exshaw Cement Carbon Capture (ALB),Canada,Lafarge Canada (Holcim group),Capture,2022,2030,Planned,1,1,Cement,Dedicated storage,,North America
Exxonmobil Antwerp Refinery CCS,Belgium,Exxonmobil,Capture,2021,2030,Planned,,,Other fuel transformation,Unknown/unspecified,,Europe & Central Asia
ExxonMobil Baytown petrochemical site (TX),United States,"ExxonMobil, Honeywell (tech), Technip Energies (FEED)",Capture,2022,2028,Planned,7,7,Other fuel transformation,Dedicated storage,Houston CCS Hub,North America
ExxonMobil Fawley refinery,United Kingdom,"ExxonMobil (UK affilIate Esso), SGN, Macquarie",Capture,2021,2030,Planned,2,2,Other fuel transformation,Dedicated storage,,Europe & Central Asia
ExxonMobil Vermilion parish storage: Pecan island (LA),United States,ExxonMobil,Storage,2022,2026,Planned,5,5,Storage,Dedicated storage,ExxonMobil Vermilion parish storage: Pecan island (LA),North America
Ferrybridge EfW,United Kingdom,"Enfinium, Navigator CO2, Bechtel (feasibility)",Capture,2023,2030,Planned,1.2,1.2,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Fidelis Project Cyclus Baton Rouge (LA),United States,"Fidelis new energy  (Cyclus Steam & Power, Gron Fuels, Capio Sequestration)",Full chain,2022,2032,Planned,1,1,Power and heat,Dedicated storage,,North America
Fife ethylene plant,United Kingdom,"ExxonMobil, (Shell?)",Capture,2021,,Planned,,,Chemicals,Dedicated storage,Acorn CCS,Europe & Central Asia
Filbornaverket plant Helsingborg,Sweden," Öresundskraft, Capsol Technologies (tech provider)",Capture,2022,2029,Planned,,,Power and heat,Unknown/unspecified,,Europe & Central Asia
Filer City Station plant (MI),United States,"CMS Enterprises Co, Babcock & Wilcox (feasbility study), NorthStar Clean Energy, Tondu Corp",Full Chain,2023,,Planned,,,Power and heat,Unknown/unspecified,,North America
FlagshipTHREE Umea Dava plant,Sweden,"Liquid Wind, Umea Energi",CCU,2023,2026,Planned,,0.136,Power and heat,Use,,Europe & Central Asia
FlagshipTWO Sundsvall Korsta plant,Sweden,"Liquid Wind, Sundsvall Energi",CCU,2023,2026,Planned,,0.177,Power and heat,Use,,Europe & Central Asia
Fluxys Tournai-Zeebrugge,Belgium,"Fluxys, Heidelberg Materials",Transport,2023,,Planned,,,Transport,Dedicated storage,Fluxys Tournai-Zeebrugge,Europe & Central Asia
Fluxys-Equinor Belgium-Norway Trunk Line ,Belgium,"Fluxys, Equinor, Heidelberg Materials",Transport,2022,2030,Planned,30,40,Transport,Dedicated storage,German Carbon Grid,Europe & Central Asia
Fortum waste solutions Nyborg,Denmark,"Fortum waste solutions, Aker CC (feasibility)",Capture,2023,,Planned,0.17,0.17,Power and heat,Dedicated storage,,Europe & Central Asia
Four corners carbon storage hub (NM),United States,New Mexico Institute of Mining and Technology,Storage,2023,,Planned,,8,Storage,Dedicated storage,Four corners carbon storage hub (NM),North America
Four Corners Power Plant Integrated Carbon Capture and Storage (NM),United States,"Navajo Transitional Energy Company, LLC (NTEC), DOE Office of Clean Energy Demonstrations",Full chain,2023,,Planned,10,10,Power and heat,Dedicated storage,,North America
Freeport LNG CCS (TX),United States,"Talos Energy, Freeport LNG, Storegga",Full chain,2021,2024,Planned,,,Natural gas processing/LNG,Dedicated storage,,North America
Frevar KF / Kvitebjorn BIO-EL (Borg CO2) (2 facilities),Norway,"Borg Havn, Kvitebjørn Bio-El and FREVAR",Capture,2019,2035,Planned,0.12,0.12,Power and heat,Dedicated storage,Northern Lights,Europe & Central Asia
FS Lucas do Rio Verde ethanol biorefinery complex,Brazil,"Summit Agricultural group, Tapajós Participações S.A, FS Bioenergy, Schlumberger (Storage studies)",Full chain,2021,2030,Planned,0.423,0.423,Biofuels,Dedicated storage,,Latin America & Caribbean
Future Biogas plants phase 1,United Kingdom,Future Biogas,Capture,2021,2024,Planned,0.2,0.2,Biofuels,Dedicated storage,Northern Lights,Europe & Central Asia
Future Biogas plants phase 2,United Kingdom,Future Biogas,Capture,2021,2028,Planned,0.345,0.345,Biofuels,Dedicated storage,Northern Lights,Europe & Central Asia
G2 Net-Zero (LA),United States,"Net Power, Siemens, EJM",Capture,2020,2027,Planned,4,4,Natural gas processing/LNG,Unknown/unspecified,,North America
Gärstaverket plant Linkoping,Sweden,"Teniska Verken, Capsol Technologies (feasibility)",Capture,2024,,Planned,0.25,0.25,Power and heat,Unknown/unspecified,,Europe & Central Asia
Gas power CCUS MoU,Indonesia,"GE Vernova, CARBONCO, BP, PLN Nusantara (Jawa 1)",Capture,2023,,Planned,,,Power and heat,Dedicated storage,,East Asia & Pacific
Gassum storage/Fyrkat network (Norne carbon storage hub),Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator), Ross Energy",Storage,2022,2026,Planned,2.6,2.6,Storage,Dedicated storage,Norne carbon storage hub,Europe & Central Asia
Gemah field EOR,Indonesia,"Petrochina (Daqing Petroleum Services), PT Gemilang Buana Utama",Storage,2022,2031,Planned,,,Storage,EOR,,East Asia & Pacific
Gemini (formerly Denbury Ascension Parish sequestration) (LA),United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,2026,Planned,15,10,Storage,Dedicated storage,Gemini (LA),North America
Genesee CCS (ALB),Canada,"Capital Power, Enbridge (T&S provider)",Capture,2021,2027,Planned,3,3,Power and heat,Dedicated storage,Open Access Wabamun Carbon Hub (ALB),North America
Geothermal CCS Croatia,Croatia,Hydrocarbons Agency Croatia,T&S,2022,2031,Planned,0.63,0.63,T&S,Dedicated storage,Geothermal CCS Croatia,Europe & Central Asia
Geovault Carnarvon Basin CCS assessment,Australia,Buru Energy (Geovault) and Energy Resources Ltd,Storage,2022,,Planned,,,Storage,Dedicated storage,,East Asia & Pacific
Gerald Gentleman Station Carbon Capture (NE),United States,"ION Engineering, Nebraska Public Power District, Siemens, Koch Modular, Sargent & Lundy",Capture,2013,2025,Planned,3.8,3.8,Power and heat,EOR,,North America
German carbon transport grid,Germany,"Open Grid Europe (OGE), TES",Transport,2022,2028,Planned,22.3,25.8,Transport,Dedicated storage,German Carbon transport grid,Europe & Central Asia
Getica CCS - Turceni power plant,Romania,"ISPE (feasibility), Alstom (feasibility) Oltenia, Transgaz",Capture,2010,,Planned,1.3,1.3,Power and heat,Dedicated storage,,Europe & Central Asia
GeZero carbon capture project (Geseke),Germany,"Heidelberg Materials, Wintershall Dea (T&S)",Capture,2023,2029,Planned,0.76,0.76,Cement,Dedicated storage,CO2nnectNow HES Wilhelmshaven Tank Terminal phase 1,Europe & Central Asia
Ghent Carbon Hub,Belgium,"Fluxys, ArcelorMittal, North Sea Port",Transport,2022,2027,Planned,6,6,Transport,Dedicated storage,,Europe & Central Asia
Gismarvik CO2 hub,Norway,"Horisont Energi, EON",Transport,2023,2028,Planned,22,24,Transport,Dedicated storage,Gismarvik CO2 hub/Errai project,Europe & Central Asia
Glacial Lakes Energy Aberdeen biorefinery (SD),United States,"Glacial Lakes Energy, Summit Carbon Solutions",Capture,2021,2025,Planned,0.13,0.14,Biofuels,Dedicated storage,Midwest carbon express,North America
Glacial Lakes Energy Mina biorefinery (SD),United States,"Glacial Lakes Energy, Summit Carbon Solutions",Capture,2021,2025,Planned,0.37,0.4,Biofuels,Dedicated storage,Midwest carbon express,North America
Glacial Lakes Energy Watertown biorefinery (SD),United States,"Glacial Lakes Energy, Summit Carbon Solutions",Capture,2021,2025,Planned,0.345,0.372,Biofuels,Dedicated storage,Midwest carbon express,North America
Glacier Gas Plant CCS full capacity (ALB),Canada," Entropy Inc. ABC Engineering, University of Regina",Full chain,2021,2024,Under construction,0.2,0.2,Natural gas processing/LNG,Dedicated storage,,North America
Global thermostat headquarters plant (CO),United States,Global Thermostat,Capture,,2023,Operational,0.001,0.001,DAC,Unknown/unspecified,,North America
Go4ECOPlant Lafarge Polska Kujawy plant,Poland,"Lafarge Cement Polska (Holcim Group), Air Liquide, Protech Sp. z o. o. (FEED)",Capture,2022,2027,Planned,1.02,1.02,Cement,Dedicated storage,ECO2CEE,Europe & Central Asia
GO4ZERO Oburg cement plant,Belgium,"Holcim Group, TotalEnergies, Air Liquide",Capture,2022,2028,Planned,1.1,1.1,Cement,Dedicated storage,Antwerp@C,Europe & Central Asia
Golden Grain Energy Mason City biorefinery (IA),United States,"Golden Grain Energy, Summit Carbon Solutions",Capture,2021,2025,Planned,0.315,0.343,Biofuels,Dedicated storage,Midwest carbon express,North America
Gonfreville Raffinerie,France,"TotalEnergies, Air Liquide",Capture,2021,2030,Planned,0.65,0.65,Other fuel transformation,Unknown/unspecified,,Europe & Central Asia
Goose Lake (LA),United States,Gulf Coast Sequestration ,Storage,2022,,Planned,,,Storage,Unknown/unspecified,Gulf Coast Sequestration Hub(LA),North America
Gorgon CCS,Australia,"Chevron (47.3 per cent, operator), Shell (25 per cent), ExxonMobil (25 per cent), Osaka Gas (1.25 per cent), Tokyo Gas (1 per cent), Chubu Electric Power (0.417 per cent)",Full chain,2009,2019,Operational,3.7,4,Natural gas processing/LNG,Dedicated storage,,East Asia & Pacific
Grain CCGT power station,United Kingdom,"Uniper, Technip Energies (PDP), Aker CC (PDP), Oilex",Capture,2022,,Planned,2,2,Power and heat,Dedicated storage,Acorn Isle of Grain to Peterhead shipping/Acorn CCS,Europe & Central Asia
Grand Ouest CO2 (GOCO₂) transport,France,"Grand Ouest, GRT Gaz, Heidelberg Materials, Elengy, Lafarge, Lhoist, TotalEnergies",Transport,2023,2030,Planned,2.6,2.6,Transport,Dedicated storage,GoCO2,Europe & Central Asia
Grande Prairie Net Zero Gateway (ALB),Canada," Keyera Corp.,  Entropy Inc., NorthRiver Midstream",Storage,2022,,Planned,3.3,3.3,Storage,Dedicated storage,"Grande Prairie Net Zero Gateway, NorthRiver Midstream Inc. (ALB)",North America
Grandpuits biorefinery,France,"Air Liquide, TotalEnergies",CCU,2022,2025,Under construction,0.11,0.11,Other fuel transformation,Use,,Europe & Central Asia
Granite Falls biorefinery (MN),United States,"Granite Falls Energy, Summit Carbon Solutions",Capture,2021,2025,Planned,0.165,0.18,Biofuels,Dedicated storage,Midwest carbon express,North America
Great Carbon Valley DAC,Kenya,"Climeworks, Great Carbon Valley",Full chain,2023,,Planned,1,1,DAC,Dedicated storage,,Africa
Great Plains Synfuel Plant (ND) Weyburn-Midale (SK),United States,"Dakota Gasification company, Cenovus, Whitecap, Cardinal",Full chain,1997,2000,Operational,3,3,Other fuel transformation,EOR,Weyburn storage unit,North America
Great Plains Synfuel Plant to sequestration (ND),United States,Dakota Gasification company,Full chain,2021,,Planned,1.815,1.5,Other fuel transformation,Dedicated storage,,North America
Green Plains Atkinson biorefinery (NE),United States,"Green Plains Atkinson, Summit Carbon Solutions",Capture,2021,2025,Planned,0.15,0.157,Biofuels,Dedicated storage,Midwest carbon express,North America
Green Plains Central City biorefinery (NE),United States,"Green Plains Central City, Summit Carbon Solutions",Capture,2021,2025,Planned,0.315,0.332,Biofuels,Dedicated storage,Midwest carbon express,North America
Green Plains Fairmont biorefinery (MN),United States,"Green Plains Fairmont, Summit Carbon Solutions",Capture,2021,2025,Planned,0.32,0.343,Biofuels,Dedicated storage,Midwest carbon express,North America
Green Plains Otter Tail biorefinery (MN),United States,"Green Plains Otter Tail, Summit Carbon Solutions",Capture,2021,2025,Planned,0.172,0.172,Biofuels,Dedicated storage,Midwest carbon express,North America
Green Plains Shenandoah biorefinery (MN),United States,"Green Plains Shenandoah, Summit Carbon Solutions",Capture,2021,2025,Planned,0.225,0.235,Biofuels,Dedicated storage,Midwest carbon express,North America
Green Plains Superior biorefinery (IA),United States,"Green Plains Superior, Summit Carbon Solutions",Capture,2021,2025,Planned,0.16,0.172,Biofuels,Dedicated storage,Midwest carbon express,North America
Green Plains Wood River biorefinery (NE),United States,"Green Plains Wood River, Summit Carbon Solutions",Capture,2021,2025,Planned,0.33,0.346,Biofuels,Dedicated storage,Midwest carbon express,North America
Green Plains York biorefinery (NE),United States,"Green Plains York, Summit Carbon Solutions",Capture,2021,2025,Planned,0.135,0.143,Biofuels,Dedicated storage,Midwest carbon express,North America
GreenCem,Denmark,"Aalborg Portland, Aalborg University, DFDS, Aalborg Energi Holding, Port of Aalborg, REintegrate, RenoNord and Hydrogen Valley",Capture,2021,2030,Planned,0.4,0.4,Cement,Dedicated storage,Norne carbon storage hub,Europe & Central Asia
GreenGen Huaneng IGCC Project Phase III (Tianjin),China,Huaneng,Full chain,2011,2030,Planned,2,2,Power and heat,Unknown/unspecified,,East Asia & Pacific
Greenview Region CCS Project (ALB),Canada, ARC Resources Ltd. ,Storage,2022,,Planned,,,Storage,Dedicated storage,Greenview Region CCS Project (ALB),North America
GRTGaz CO2 backbone,France,GRTGaz,Transport,2023,2028,Planned,5,5,Transport,Dedicated storage,,Europe & Central Asia
Guanghui Energy CCUS integration project Phase 1 (Xinjiang),China,"Guanghui Energy CO., Ltd, China Kunlun Engineering  (EPC)",Full chain,2021,2023,Operational,0.1,0.1,Chemicals,EOR,,East Asia & Pacific
Gulf Coast Hydrogen Hub HyVelocity (TX),United States,"GTI Energy, AES Corporation, Air Liquide, Chevron, Mitsubishi Power Americas, Chevron, Orsetd, Shell, Sempra Infrastructure ",Capture,2023,,Planned,,,Hydrogen or ammonia,Dedicated storage,,North America
Gulf Coast Sequestration Hub Lake Charles (LA),United States,Gulf Coast Sequestration ,Storage,2020,2030,Planned,2.7,2.7,Storage,Dedicated storage,Gulf Coast Sequestration Hub(LA),North America
Gundih CCUS EGR,Indonesia,"Pertamina, ITB, JGC, J-Power, JANUS (supported by METI Japan)",Full chain,2020,2030,Planned,0.3,0.3,Natural gas processing/LNG,EOR,,East Asia & Pacific
Gwangyang LNG terminal blue hydrogen,South Korea,"POSCO, ADNOC",Capture,2024,2029,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,East Asia & Pacific
H21 Leeds City Gate - Teesside hydrogen,United Kingdom,Northern Gas Networks,Capture,2014,2035,Planned,1.5,1.5,Hydrogen or ammonia,Dedicated storage,,Europe & Central Asia
H2BE,Belgium,"Equinor, Engie",Capture,2021,2028,Planned,1.8,1.8,Hydrogen or ammonia,Dedicated storage,,Europe & Central Asia
H2-gateway,Netherlands,"NHN, Gasterra, Gasunie, Port den Helder",Full chain,2020,2027,Planned,,1.8,Hydrogen or ammonia,Dedicated storage,,Europe & Central Asia
H2GE Rostock,Germany,"Equinor, VNG",Capture,2022,2029,Planned,1.8,1.8,Hydrogen or ammonia,Dedicated storage,Northern Lights,Europe & Central Asia
H2NorthEast Phase 1,United Kingdom,"Kellas Midstream, SSE Thermal (50%),Worley (FEED)",Capture,2021,2028,Planned,,0.869,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
H2NorthEast Phase 2,United Kingdom,"Kellas Midstream, SSE Thermal (50%)",Capture,2021,2030,Planned,,1.578,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
H2Perth Woodside,Australia,"Woodside, McDermott (pre-FEED)",Full chain,2021,2025,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,East Asia & Pacific
Habshan-Bab gas plant (Abu Dhabi CCS Phase 2),United Arab Emirates,"ADNOC, Petrofac (EPC)",Full chain,2020,2026,Under construction,1.5,1.5,Natural gas processing/LNG,EOR,,Middle East & North Africa
Hackberry Carbon Sequestration (HCS) project at Cameron LNG (LA),United States,"TotalEnergies, Sempra Infrastructure, Mitsui, and Mitsubishi",Full chain,2022,,Planned,2,2,Natural gas processing/LNG,Dedicated storage,,North America
Hail and Gasha CO2 Management,United Arab Emirates,"ADNOC (70%), Eni (10% - Only CO2 capture), Wintershall Dea (10%), OMV (5%), Lukoil (5%)",Full chain,2021,2028,Under construction,1.5,1.5,Natural gas processing/LNG,Dedicated storage,,Middle East & North Africa
Hanson Padeswood Cement Works CCS,United Kingdom,"Heidelberg Materials, Hanson, Mitsubishi HI (pre-FEED/FEED), Worley (FEED)",Capture,2021,2028,Planned,0.8,0.8,Cement,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe & Central Asia
Harvest Bend CCS White Castle (LA),United States,"Harvest Bend CCS LLC (Talos Energy, Enlink Midsteram, Storegga) ",Storage,2022,,Planned,5,5,Storage,Unknown/unspecified,Harvest Bend (LA),North America
Havnso storage/Trelleborg network (Norne carbon storage hub),Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator), Ross Energy",Storage,2022,2030,Planned,16.4,16.4,Storage,Dedicated storage,Norne carbon storage hub,Europe & Central Asia
Havstjerne CO2 storage (Altera Stella Maris CCS Project Phase 1),Norway,"Altera (50%), Wintershall Dea (50%",T&S,2020,,Planned,7,7,T&S,Dedicated storage,Altera Stella Maris CCS/ Havstjerne ,Europe & Central Asia
Haynesville Shale natural gas (LA),United States,"CapturePoint Solutions, Energy transfer",Capture,2022,2024,Under construction,2,2,Natural gas processing/LNG,Dedicated storage,Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),North America
Heartland Greenway Storage (HGSS) NVC-1 (IL),United States,Heartland Greenway Carbon Storage LLC (Navigator Carbon Ventures),Storage,2022,,Planned,,,Storage,Unknown/unspecified,,North America
Heartland Greenway Storage: Compass (IL),United States,Heartland Greenway Carbon Storage LLC,Storage,2023,,Suspended/cancelled/decommissioned,,,Storage,Unknown/unspecified,,North America
Heartland Greenway Storage: Vervain (IL),United States,Heartland Greenway Carbon Storage LLC,Storage,2023,,Suspended/cancelled/decommissioned,,,Storage,Unknown/unspecified,,North America
Heartland hydrogen hub (ALB),Canada,"Suncor, ATCO",Capture,2021,2028,Planned,2,2,Other fuel transformation,Dedicated storage,Atlas Carbon Sequestration Hub (alb),North America
Heidelberg Materials Brevik cement,Norway,"Heidelberg Materials (Norcem), Aker CC (tech)",Capture,2016,2025,Under construction,0.4,0.4,Cement,Dedicated storage,Northern Lights,Europe & Central Asia
Heidelberg Materials CBR Antoing Cement Plant (Anthemis),Belgium,Heidelberg Materials,Capture,2023,2029,Planned,0.8,0.8,Cement,Dedicated storage,Fluxys Tournai-Zeebrugge,Europe & Central Asia
Heidelberg Materials LEILAC 2,Germany,"Heidelberg Materials, Calix",Capture,2021,2025,Under construction,0.1,0.1,Cement,Unknown/unspecified,,Europe & Central Asia
Heidelberg Materials Mitchell plant (IN),United States,Heidelberg Materials,Capture,2022,2030,Planned,2,2,Cement,Dedicated storage,Mitchell CarbonSAFE (IL),North America
HeidelbergMaterials Edmonton Cement (ALB),Canada,"Heidelberg Materials, Government of Canada (MoU), Enbridge, Technip (FEED)",Capture,2019,2027,Planned,1,1,Cement,Dedicated storage,Open Access Wabamun Carbon Hub (ALB),North America
Heron Lake biorefinery (MN),United States,"Heron Lake BioEnergy, Summit Carbon Solutions",Capture,2021,2025,Planned,0.175,0.186,Biofuels,Dedicated storage,Midwest carbon express,North America
HIF Cabo Negro eFuels Facility,Chile,HIF Chile,CCU,2021,,Planned,0.23,0.23,Biofuels,Use,,Latin America & Caribbean
HIF Paysandú eFuels Facility Alur bioethanol plant,Uruguay,"HIF Urugay, Alur",CCU,2023,2025,Planned,0.15,0.15,Biofuels,Use,,Latin America & Caribbean
HIF Tasmania eFuels Facility (TAS),Australia,"HIF Asia Pacific, Technip (FEED), Forico (biomass supply)",CCU,2022,2028,Planned,0.3,0.3,Power and heat,Use,,East Asia & Pacific
HIF USA eFuels Matagorda County (TX),United States,"HIF USA, Baker Hughes (DAC), Topsoe (e-fuel tech), Bechtel (FEED), Siemens energy (electrolysers), (Still involved? Honeywell (e-methanol to e-SAF tech), Johnson Matthey (e-methanol tech))",CCU,2021,2027,Planned,2,2,DAC,Use,,North America
Highwater Ethanol Lamberton biorefinery (MN),United States,"Highwater Ethanol Lamberton, Summit Carbon Solutions",Capture,2021,2025,Planned,0.145,0.157,Biofuels,Dedicated storage,Midwest carbon express,North America
Hinton Bioenergy CCS project (ALB),Canada," Vault 44.01 Ltd, West Fraser, TorchLight Bioresources",Capture,2022,2027,Planned,1.26,1.26,Other industry,Dedicated storage,Rocky Mountain Carbon Vault (ALB),North America
HOFOR Amagerværket,Denmark,Hofor,Capture,2021,2030,Planned,0.9,0.9,Power and heat,Unknown/unspecified,,Europe & Central Asia
Homeland Energy Solutions Lawler biorefinery (IA),United States,"Homeland Energy Solutions, Summit Carbon Solutions",Capture,2021,2025,Planned,0.53,0.572,Biofuels,Dedicated storage,Midwest carbon express,North America
Hoosier #1 (Cardinal ethanol facility) (IN) ,United States,"One Carbon Partnership (Cardinal Ethanol, Vault 44.01 joint venture)",Full chain,2022,,Planned,0.4,0.4,Biofuels,Dedicated storage,,North America
Horizon mine tailings (ALB),Canada,Canadian Natural Resources Ltd,CCU,,2017,Operational,0.4,0.4,Other fuel transformation,Use,,North America
Hover cement works Hannover phase 1,Germany,"Holcim Group, Cool Planet Technologies",Capture,2021,2024,Planned,0.185,0.184,Cement,Unknown/unspecified,,Europe & Central Asia
Hover cement works Hannover phase 2,Germany,"Holcim Group, Cool Planet Technologies",Capture,2021,2028,Planned,0.8,0.8,Cement,Unknown/unspecified,,Europe & Central Asia
Huaneng Zhengning coal power plant (Gansu),China,China Huaneng Group,CCU,2021,2024,Under construction,1.5,1.5,Power and heat,Use,,East Asia & Pacific
Humberside CCS with Shell and Esso,United Kingdom,"Shell (50%), Esso (ExxonMobil) (50%)",Storage,2023,,Planned,,,Storage,Dedicated storage,,Europe & Central Asia
Husker Ag Plainview biorefinery (NE),United States,"Husker Ag, Summit Carbon Solutions",Capture,2021,2025,Planned,0.295,0.315,Biofuels,Dedicated storage,Midwest carbon express,North America
H-vision plant 1,Netherlands,bp,Capture,2018,2030,Planned,1.3,1.3,Other fuel transformation,Dedicated storage,,Europe & Central Asia
Hydrogen 2 Magnum (H2M),Netherlands,"Nuon (Vattenfall sub.), Equinor, Gasunie",Capture,2017,2025,Planned,1.3,1.3,Hydrogen or ammonia,Dedicated storage,Northern Lights,Europe & Central Asia
Hydrogen Energy Supply Chain (HESC) Project Full scale (CarbonNET),Australia,"Kawasaki heavy industries, J-POWER, Iwatani Corporation, Marubeni Corporation, AGL, Sumitomo Corporation",Capture,2018,2030,Planned,3.095,4.39,Hydrogen or ammonia,Dedicated storage,CarbonNET,East Asia & Pacific
Hydrogen to Humber (H2H) Saltend phase 1,United Kingdom,"Equinor, SSE Thermal, Linde (FEED/EPC), BOC (Operation and maintenance), Jonhson Matthey (FEED)",Capture,2020,2028,Planned,0.89,0.89,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Hydrogen to Humber (H2H) Saltend phase 2,United Kingdom,"Equinor, SSE Thermal, Linde (FEED/EPC), BOC (Operation and maintenance), Jonhson Matthey (FEED)",Capture,2020,,Planned,1,1,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
HyNet Hydrogen Production Project (HPP) Plant 1 (Hynet phase 1),United Kingdom,"EET Hydrogen (former Vertex Hydrogen, joint venture Essar Oil 90% and progressive energy 10%), Johnson Matthey (capture tech)",Capture,2019,2027,Planned,0.65,0.65,Hydrogen or ammonia,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe & Central Asia
HyNet Hydrogen Production Project (HPP) Plant 2 (Hynet phase 2),United Kingdom,"EET Hydrogen (former Vertex Hydrogen, joint venture Essar Oil 90% and progressive energy 10%), KBR (capture tech and FEED)",Capture,2023,,Planned,1.9,1.9,Hydrogen or ammonia,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe & Central Asia
Hynet North West (Liverpool Bay CO2 storage) phase 1,United Kingdom,"Eni, Halliburton (Well completions)",T&S,2020,2027,Planned,4.5,4.5,T&S,Dedicated storage,Hynet North West (Liverpool Bay CO2 storage),Europe & Central Asia
Hynet North West (Liverpool Bay CO2 storage) phase 2,United Kingdom,"Eni, Halliburton (Well completions)",T&S,2020,2030,Planned,5.5,5.5,T&S,Dedicated storage,Hynet North West (Liverpool Bay CO2 storage),Europe & Central Asia
Hynet Northwest phase 3,United Kingdom,Hynet consortium,Capture,2019,2030,Planned,8.1,8.1,Hydrogen or ammonia,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe & Central Asia
Hynovera,France,"HY2GEN, Gazel Energie",CCU,2023,2028,Planned,,0.123,Power and heat,Use,,Europe & Central Asia
Hynovi project (Vicat Montalieu plant),France,Vicat,CCU,2021,2026,Planned,0.5,0.5,Cement,Use,,Europe & Central Asia
Hyskies Vattenfall CHP Lanzatech,Sweden,"Vattenfall, SAS, Shell, Lanzatech",CCU,2021,2028,Planned,0.207,0.207,Power and heat,Use,,Europe & Central Asia
Ifestos Carbon Capture (Kamati plant),Greece,Titan Group,Capture,2023,2030,Planned,1.9,1.9,Cement,Dedicated storage,,Europe & Central Asia
Illinois Basin Decatur Project (IL),United States,"ADM, Midwest Geological Sequestration Consortium",Full chain,2009,2011,Suspended/cancelled/decommissioned,0.33,0.33,Biofuels,Dedicated storage,ADM Decatur Campus CO2 Storage Site Expansion (IL),North America
Illinois Basin West CarbonSAFE (IL),United States,University of Illinois,Storage,2023,,Planned,1.67,1.67,Storage,Dedicated storage,Illinois Basin West CarbonSAFE (IL),North America
Illinois Clean Fuels Project (IL),United States,"Illinois clean fuels,",Capture,2013,2026,Planned,8.9,9.7,Biofuels,Dedicated storage,,North America
Illinois Industrial Carbon Capture and Storage (IL),United States,ADM,Full chain,2009,2017,Operational,0.8,0.5,Biofuels,Dedicated storage,ADM Decatur Campus CO2 Storage Site Expansion (IL),North America
